code,description,category
1263,Agricultural Target,Victim Characteristics
1264,Pipeline,Victim Characteristics
1265,Mailbox,Victim Characteristics
1266,Victim was security guard,Victim Characteristics
1267,Home under construction,Victim Characteristics
1268,Victim was 5150/Mental Illness,Victim Characteristics
1269,Victim was armored car driver,Victim Characteristics
1270,Victim was gang member,Victim Characteristics
1271,Victim was Law Enforcement (not LAPD),Victim Characteristics
1272,Victim was at/leaving medical/retail/non-retail cannabis location,Victim Characteristics
1273,Home was being fumigated,Victim Characteristics
1274,Victim was Inmate/Incarcerated,Victim Characteristics
1275,Vacant Residence/Building,Victim Characteristics
1276,Pregnant,Victim Characteristics
1277,Gardner,Victim Characteristics
1278,Victim was Uber/Lyft driver,Victim Characteristics
1279,Victim was Foster child,Victim Characteristics
1280,Victim was Foster parent,Victim Characteristics
1281,Victim was Pistol-whipped,Victim Characteristics
1300,Vehicle involved,Vehicle
1301,Forced victim vehicle to curb,Vehicle
1302,Suspect forced way into victim's vehicle,Vehicle
1303,Hid in rear seat,Vehicle
1304,Stopped victim vehicle by flagging down/forcing T/A/etc.,Vehicle
1305,Victim forced into vehicle,Vehicle
1306,Victim parking/garaging vehicle,Vehicle
1307,Breaks window,Vehicle
1308,Drives by and snatches property,Vehicle
1309,Susp uses vehicle,Vehicle
1310,Victim in vehicle,Vehicle
1311,Victim removed from vehicle,Vehicle
1312,Suspect follows victim in vehicle,Vehicle
1313,Suspect exits vehicle and attacks pedestrian,Vehicle
1314,Victim loading vehicle,Vehicle
1315,Victim unloading vehicle,Vehicle
1316,Victim entering their vehicle,Vehicle
1317,Victim exiting their vehicle,Vehicle
1318,Suspect follows victim home,Vehicle
1401,Blood Stains,Evidence
1402,Evidence Booked (any crime),Evidence
1403,Fingerprints,Evidence
1404,Footprints,Evidence
1405,Left Note,Evidence
1406,Tool Marks,Evidence
1407,Bullets/Casings,Evidence
1408,Bite Marks,Evidence
1409,Clothes,Evidence
1410,Gun Shot Residue,Evidence
1411,Hair,Evidence
1412,Jewelry,Evidence
1413,Paint,Evidence
1414,Photographs,Evidence
1415,Rape Kit,Evidence
1416,Saliva,Evidence
1417,Semen,Evidence
1418,Skeleton/Bones,Evidence
1419,Firearm booked as evidence,Evidence
1420,Video surveillance booked/available,Evidence
1501,Other MO (see rpt),Other
1505,Bias: Mental Disability,Bias
1506,Bias: Physical disability,Bias
1507,Bias: Anti-female,Bias
1508,Bias: Anti-male,Bias
1509,Bias: Anti-Gender non-conforming,Bias
1510,Bias: Anti-Transgender,Bias
1511,Bias: Anti-American/Alaskan Native,Bias
1512,Bias: Anti-Arab,Bias
1513,Bias: Anti-Asian,Bias
1514,Bias: Anti-Black or African American,Bias
1515,Bias: Anti-Citizenship Status,Bias
1516,Bias: Anti-Hispanic or Latino,Bias
1517,Bias: Anti-Multiple Races (Group),Bias
1518,Bias: Anti-Native Hawaiian or Other Pacific Islander,Bias
1519,Bias: Anti-Other Race/Ethnicity/Ancestry,Bias
1520,Bias: Anti-White,Bias
1521,Bias: Anti-Atheism/Agnosticism,Bias
1522,Bias: Anti-Buddhist,Bias
1523,Bias: Anti-Catholic,Bias
1524,Bias: Anti-Eastern Orthodox (Russian/Greek/Other),Bias
1525,Bias: Anti-Hindu,Bias
1526,Bias: Anti-Islamic (Muslim),Bias
1527,Bias: Anti-Jehovah's Witness,Bias
1528,Bias: Anti-Jewish,Bias
1529,Bias: Anti-Mormon,Bias
1530,Bias: Anti-Multiple Religions Group,Bias
1531,Bias: Anti-Other Christian,Bias
1532,Bias: Anti-Other Religion,Bias
1533,Bias: Anti-Protestant,Bias
1534,Bias: Anti-Sikh,Bias
1535,Bias: Anti-Bisexual,Bias
1536,Bias: Anti-Gay (Male),Bias
1537,Bias: Anti-Heterosexual,Bias
1538,Bias: Anti-Lesbian,Bias
1539,Bias: Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Bias
1601,Bodily Force,Entry Method
1602,Cutting Tool,Entry Method
1603,Knob Twist,Entry Method
1604,Lock Box,Entry Method
1605,Lock slip/key/pick,Entry Method
1606,Open/unlocked,Entry Method
1607,Pried,Entry Method
1608,Removed,Entry Method
1609,Smashed,Entry Method
1610,Tunneled,Entry Method
1611,Shaved Key,Entry Method
1612,Punched/Pulled Door Lock,Entry Method
1701,Elder Abuse/Physical,Elder Abuse
1702,Elder Abuse/Financial,Elder Abuse
1801,Susp is/was mother's boyfriend,Suspect/Victim Relationship
1802,Susp is/was victim's co-worker,Suspect/Victim Relationship
1803,Susp is/was victim's employee,Suspect/Victim Relationship
1804,Susp is/was victim's employer,Suspect/Victim Relationship
1805,Susp is/was fellow gang member,Suspect/Victim Relationship
1806,Susp is/was father's girlfriend,Suspect/Victim Relationship
1807,Susp is/was priest/pastor,Suspect/Victim Relationship
1808,Susp is/was other religious confidant,Suspect/Victim Relationship
1809,Susp is/was rival gang member,Suspect/Victim Relationship
1810,Susp is/was roommate,Suspect/Victim Relationship
1811,Susp is/was victim's teacher/coach,Suspect/Victim Relationship
1812,Susp is/was foster parent/sibling,Suspect/Victim Relationship
1813,Susp is/was current/former spouse/co-habitant,Suspect/Victim Relationship
1814,Susp is/was current/former boyfriend/girlfriend,Suspect/Victim Relationship
1815,Susp was student,Suspect/Victim Relationship
1816,Suspect is/was known gang member,Suspect/Victim Relationship
1817,Acquaintance,Suspect/Victim Relationship
1818,Caretaker/care-giver/nanny,Suspect/Victim Relationship
1819,Common-law Spouse,Suspect/Victim Relationship
1820,Friend,Suspect/Victim Relationship
1821,Spouse,Suspect/Victim Relationship
1822,Stranger,Suspect/Victim Relationship
1823,Brief encounter/Date,Suspect/Victim Relationship
1824,Classmate,Suspect/Victim Relationship
1900,Auction Fraud/eBay/craigslist/etc. (Internet based theft),Cybercrime
1901,Child Pornography/In possession of/Via computer,Cybercrime
1902,Credit Card Fraud/Theft of services via internet,Cybercrime
1903,Cyberstalking (Stalking using internet to commit the crime),Cybercrime
1904,Denial of computer services,Cybercrime
1905,Destruction of computer data,Cybercrime
1906,Harrassing E-Mail/Text Message/Other Electronic Communications,Cybercrime
1907,Hate Crime materials/printouts/e-mails,Cybercrime
1908,Identity Theft via computer,Cybercrime
1909,Introduction of virus or contaminants into computer system/program,Cybercrime
1910,Minor solicited for sex via internet/Known minor,Cybercrime
1911,Theft of computer data,Cybercrime
1912,Threatening E-mail/Text Messages,Cybercrime
1913,Suspect meets victim on internet/chatroom,Cybercrime
1914,Unauthorized access to computer system,Cybercrime
1915,Internet Extortion,Cybercrime
1916,Victim paid by wire transfer,Cybercrime
2000,Domestic violence,Suspect Characteristics
2001,Suspect on drugs,Suspect Characteristics
2002,Suspect intoxicated/drunk,Suspect Characteristics
2003,Suspect was 5150/mentally disabled,Suspect Characteristics
2004,Suspect is homeless/transient,Suspect Characteristics
2005,Suspect uses wheelchair,Suspect Characteristics
2006,Suspect was transgender,Suspect Characteristics
2007,Suspect was gay,Suspect Characteristics
2008,In possession of a Ballistic vest,Suspect Characteristics
2009,Suspect was Inmate/Incarcerated,Suspect Characteristics
2010,Suspect was Jailer/Police Officer,Suspect Characteristics
2011,Vendor (street or sidewalk),Suspect Characteristics
2012,Suspect was costumed character (e.g. Barney/Darth Vader/Spiderman/etc.),Suspect Characteristics
2013,Tour Bus/Van Operator,Suspect Characteristics
2014,Suspect was Uber/Lyft driver,Suspect Characteristics
2015,Suspect was Foster child,Suspect Characteristics
2016,Suspect was Train Operator,Suspect Characteristics
2017,Suspect was MTA Bus Driver,Suspect Characteristics
2018,Cannabis related,Suspect Characteristics
2019,Theft of animal (non-livestock),Suspect Characteristics
2020,Mistreatment of animal,Suspect Characteristics
2021,Suspect was Aged (60+over),Suspect Characteristics
2022,Suspect was Hitchhiker,Suspect Characteristics
2023,Suspect was Prostitute,Suspect Characteristics
2024,Suspect was Juvenile,Suspect Characteristics
2025,Suspect was Bisexual,Suspect Characteristics
2026,Suspect was Deaf/hearing impaired,Suspect Characteristics
2027,Suspect was Pregnant,Suspect Characteristics
2028,Suspect was Repeat/known shoplifter,Suspect Characteristics
2029,Victim used profanity,Suspect Characteristics
2030,Victim used racial slurs,Suspect Characteristics
2031,Victim used hate-related language,Suspect Characteristics
2032,Victim left property unattended,Suspect Characteristics
2033,Victim refused to cooperate w/investigation,Suspect Characteristics
2034,Victim was asleep/unconscious,Suspect Characteristics
2035,Racial slurs,Suspect Characteristics
2036,Hate-related language,Suspect Characteristics
2037,Temporary/Vacation rental (AirBnB/etc),Suspect Characteristics
2038,Restraining order in place between suspect and victim,Suspect Characteristics
2039,Victim was costumed character (e.g. Barney/Darth Vader/Spiderman/etc.),Suspect Characteristics
2040,Threats via Social Media,Suspect Characteristics
2041,Harassment via Social Media,Suspect Characteristics
2042,Victim staying at short-term vacation rental,Suspect Characteristics
2043,Victim is owner of short-term vacation rental,Suspect Characteristics
2044,Suspect staying at short-term vacation rental,Suspect Characteristics
2045,Suspect is owner of short-term vacation rental,Suspect Characteristics
2046,Suspect damaged property equal to or exceeding $25,000,Suspect Characteristics
2047,Victim was injured requiring transportation away from scene for medical reasons,Suspect Characteristics
2048,Victim was on transit platform,Suspect Characteristics
2049,Victim was passenger on bus,Suspect Characteristics
2050,Victim was passenger on train,Suspect Characteristics
2051,Suspect was passenger on bus,Suspect Characteristics
2052,Suspect was passenger on train,Suspect Characteristics
2053,Victim targeted based on religion,Suspect Characteristics
2054,Victim targeted based on sexual orientation,Suspect Characteristics
2055,Victim targeted based on Race/Ethnicity/Ancestry,Suspect Characteristics
2056,Victim targeted based on gender,Suspect Characteristics
2057,Victim targeted based on disability,Suspect Characteristics
2058,Victim targeted based on Gender Non-conforming,Suspect Characteristics
2059,Vict rptd sexual assault at time of arst for unrelated incident,Suspect Characteristics
2060,Victim inside tent,Suspect Characteristics
2100,Observation/Surveillance,Suspicious Activity (SAR)
2101,Counter Surveillance efforts,Suspicious Activity (SAR)
2102,Questions about security procedures,Suspicious Activity (SAR)
2103,Appears to take measurements,Suspicious Activity (SAR)
2104,Photography (pics or video footage),Suspicious Activity (SAR)
2105,Draws diagrams or takes notes,Suspicious Activity (SAR)
2106,Abandons suspicious package/item,Suspicious Activity (SAR)
2107,Abandons vehicle restricted area,Suspicious Activity (SAR)
2108,Enters restricted area w/o authorization,Suspicious Activity (SAR)
2109,Testing or Probing of Security,Suspicious Activity (SAR)
2110,Contraband at security check point,Suspicious Activity (SAR)
2111,Susp purchase of legal materials,Suspicious Activity (SAR)
2112,Acquires restricted items/information,Suspicious Activity (SAR)
2113,Acquires illegal explosive/precur agents,Suspicious Activity (SAR)
2114,Acquires illegal chemical agent,Suspicious Activity (SAR)
2115,Acquires illegal biological agents,Suspicious Activity (SAR)
2116,Acquires illegal radiological material,Suspicious Activity (SAR)
2117,Uses explosives for illegal purposes,Suspicious Activity (SAR)
2118,Uses chemical agent illegally,Suspicious Activity (SAR)
2119,Uses biological agent illegally,Suspicious Activity (SAR)
2120,Uses radiological material illegally,Suspicious Activity (SAR)
2121,Acquires uniforms without legit reason,Suspicious Activity (SAR)
2122,Acquires official vehicle without legit reason,Suspicious Activity (SAR)
2123,Pursues training/education with suspect motives,Suspicious Activity (SAR)
2124,Large unexplained sum of currency,Suspicious Activity (SAR)
2125,Multiple passports/ID's/travel documents,Suspicious Activity (SAR)
2126,Expressed or Implied threats,Suspicious Activity (SAR)
2127,Brags about affiliation with extremist organization,Suspicious Activity (SAR)
2128,Coded conversation or transmission,Suspicious Activity (SAR)
2129,Overt support of terrorist network,Suspicious Activity (SAR)
2130,Uses Facsimile/Hoax explosive device (susp offer/solicts),Suspicious Activity (SAR)
2131,Uses Facsimile/Hoax dispersal device (susp offer/solicts),Suspicious Activity (SAR)
